N9721	health	nutrition	50 Foods You Should Never Eat, According to Health Experts	This is so depressing.	https://assets.msn.com/labs/mind/AABDHTv.html	[]	[]
N59469	lifestyle	lifestyleroyals	Every outfit Duchess Kate has worn in 2019	See Kate Middleton's style choices this year from glam gowns and coat dresses to re-wears, tiaras and hats.	https://assets.msn.com/labs/mind/AABvaDh.html	[]	"[{""Label"": ""Catherine, Duchess of Cambridge"", ""Type"": ""P"", ""WikidataId"": ""Q10479"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [4], ""SurfaceForms"": [""Kate Middleton""]}]"
N9680	tv	tv-celebrity	'Bachelor's Amanda Stanton Is Dating 'Rich Kids of Beverly Hills' Star Brendan Fitzpatrick	The mom of two opened up to ET about her dating life in August.	https://assets.msn.com/labs/mind/AAISxYG.html	"[{""Label"": ""Rich Kids of Beverly Hills"", ""Type"": ""W"", ""WikidataId"": ""Q20641700"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [38], ""SurfaceForms"": [""Rich Kids of Beverly Hills""]}]"	"[{""Label"": ""Eastern Time Zone"", ""Type"": ""U"", ""WikidataId"": ""Q941023"", ""Confidence"": 0.983, ""OccurrenceOffsets"": [28], ""SurfaceForms"": [""ET""]}]"
N3395	tv	tv-gallery	TV shows we're most excited about for the rest of the year	"From HBO originals like ""His Dark Materials"" to the new season of Netflix's ""The Crown,"" here are some of the shows we can't wait to watch."	https://assets.msn.com/labs/mind/AAGC54l.html	[]	"[{""Label"": ""HBO"", ""Type"": ""O"", ""WikidataId"": ""Q23633"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [5], ""SurfaceForms"": [""HBO""]}, {""Label"": ""His Dark Materials"", ""Type"": ""U"", ""WikidataId"": ""Q129240"", ""Confidence"": 0.926, ""OccurrenceOffsets"": [25], ""SurfaceForms"": [""His Dark Materials""]}, {""Label"": ""Netflix"", ""Type"": ""O"", ""WikidataId"": ""Q907311"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [66], ""SurfaceForms"": [""Netflix""]}]"
N61864	news	newsopinion	The News In Cartoons	News as seen through the eyes of the nation's editorial cartoonists.	https://assets.msn.com/labs/mind/AABGTFJ.html	[]	[]
N55024	lifestyle	lifestylesmartliving	40 Etiquette Mistakes You Need to Stop Making by Age 40	From errors you make on the phone to rude things you do with your significant other, clean up your act by ditching these etiquette mistake in your 40s.	https://assets.msn.com/labs/mind/AACJkDv.html	[]	"[{""Label"": ""Eukaryotic small ribosomal subunit (40S)"", ""Type"": ""U"", ""WikidataId"": ""Q4637383"", ""Confidence"": 0.921, ""OccurrenceOffsets"": [147], ""SurfaceForms"": [""40s""]}]"
N31402	foodanddrink	restaurantsandnews	The Best Seafood Restaurant in All 50 States	Think there are too many seafood places in Maine to choose among, but none in landlocked Nebraska? This list will point your cravings and more in the right direction. Whether it's shrimp, crab, fish, or sushi that you love, even the most landlocked states have top-notch options for seafood. Find out what's near you.	https://assets.msn.com/labs/mind/AACkb8L.html	[]	"[{""Label"": ""Maine"", ""Type"": ""G"", ""WikidataId"": ""Q724"", ""Confidence"": 0.998, ""OccurrenceOffsets"": [43], ""SurfaceForms"": [""Maine""]}, {""Label"": ""Nebraska"", ""Type"": ""G"", ""WikidataId"": ""Q1553"", ""Confidence"": 0.999, ""OccurrenceOffsets"": [89], ""SurfaceForms"": [""Nebraska""]}]"
N45191	lifestyle	shop-all	Amazon Says These Are Its Funniest Customer Reviews		https://assets.msn.com/labs/mind/AAEyYIZ.html	"[{""Label"": ""Amazon (company)"", ""Type"": ""O"", ""WikidataId"": ""Q3884"", ""Confidence"": 0.992, ""OccurrenceOffsets"": [0], ""SurfaceForms"": [""Amazon""]}]"	[]
N10	health	weight-loss	7 Running Workouts for Weight Loss	It's all about the fartleks.	https://assets.msn.com/labs/mind/AADnDn5.html	"[{""Label"": ""Exercise"", ""Type"": ""C"", ""WikidataId"": ""Q219067"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [10], ""SurfaceForms"": [""Workouts""]}]"	[]
N39638	finance	finance-retirement	Want to retire and live in an RV full time? 8 things you need to know	8 tips to retire & live in an RV	https://assets.msn.com/labs/mind/AAGGGvg.html	[]	[]
N49134	sports	racing	Matt Tifft will miss rest of season after suffering seizure at Martinsville	John Hunter Nemechek will drive the No. 36 car for Front Row Motorsports the final three Cup races of the season.	https://assets.msn.com/labs/mind/AAJwgEq.html	"[{""Label"": ""Matt Tifft"", ""Type"": ""P"", ""WikidataId"": ""Q18358010"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [0], ""SurfaceForms"": [""Matt Tifft""]}, {""Label"": ""Martinsville Speedway"", ""Type"": ""U"", ""WikidataId"": ""Q1815381"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [63], ""SurfaceForms"": [""Martinsville""]}]"	"[{""Label"": ""NASCAR Cup Series"", ""Type"": ""N"", ""WikidataId"": ""Q2707177"", ""Confidence"": 0.979, ""OccurrenceOffsets"": [89], ""SurfaceForms"": [""Cup""]}, {""Label"": ""John Hunter Nemechek"", ""Type"": ""P"", ""WikidataId"": ""Q5345471"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [0], ""SurfaceForms"": [""John Hunter Nemechek""]}, {""Label"": ""Front Row Motorsports"", ""Type"": ""O"", ""WikidataId"": ""Q785130"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [51], ""SurfaceForms"": [""Front Row Motorsports""]}]"
N37414	music	music-gallery	The best hair metal bands	The hair, or glam, metal bands of the 1980s remain one of the true guilty pleasures in the history of music. The hair spray, makeup and catchy pop tunes touched up with distortion were made for MTV. Though there really wasn't much substance to the music, the scene was popular to the mainstream nonetheless. So we've decided to rank our 20 hair metal bands of all time. But before we go on, bands like Def Leppard, Kiss, Scorpions, Whitesnake, Extreme and Tesla are not on this list. While, yes, some of these groups made massively successful pop-tinged metal albums during the '80s, they were either already successfully established hard-rock acts before this time and went for some easy money or were unjustly lumped into the genre thanks to MTV. With that said, here we go.	https://assets.msn.com/labs/mind/AAGKFf4.html	[]	"[{""Label"": ""Tesla (band)"", ""Type"": ""P"", ""WikidataId"": ""Q1428953"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [456], ""SurfaceForms"": [""Tesla""]}, {""Label"": ""Kiss (band)"", ""Type"": ""P"", ""WikidataId"": ""Q124179"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [415], ""SurfaceForms"": [""Kiss""]}, {""Label"": ""Whitesnake"", ""Type"": ""P"", ""WikidataId"": ""Q189965"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [432], ""SurfaceForms"": [""Whitesnake""]}, {""Label"": ""Scorpions (band)"", ""Type"": ""P"", ""WikidataId"": ""Q124147"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [421], ""SurfaceForms"": [""Scorpions""]}, {""Label"": ""Def Leppard"", ""Type"": ""P"", ""WikidataId"": ""Q182890"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [402], ""SurfaceForms"": [""Def Leppard""]}, {""Label"": ""Extreme (band)"", ""Type"": ""P"", ""WikidataId"": ""Q682710"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [444], ""SurfaceForms"": [""Extreme""]}, {""Label"": ""MTV"", ""Type"": ""M"", ""WikidataId"": ""Q43359"", ""Confidence"": 0.999, ""OccurrenceOffsets"": [194, 744], ""SurfaceForms"": [""MTV"", ""MTV""]}]"
N7771	lifestyle	voices	I Quit Instagram For Three Months to Heal My Idiot Brain	*Screams/sobs* Hello from the other siiiiiiide.	https://assets.msn.com/labs/mind/AAGbC2v.html	"[{""Label"": ""Instagram"", ""Type"": ""W"", ""WikidataId"": ""Q209330"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [7], ""SurfaceForms"": [""Instagram""]}]"	[]
N30344	lifestyle	lifestylebuzz	Snakehead fish that survives on land was discovered in Georgia. Officials want it dead	An invasive fish species that can breathe air and survive on land has been found in Georgia for the first time. And officials are warning anyone who comes into contact with the species to kill it immediately.	https://assets.msn.com/labs/mind/AAIzlnB.html	"[{""Label"": ""Georgia (U.S. state)"", ""Type"": ""G"", ""WikidataId"": ""Q1428"", ""Confidence"": 0.972, ""OccurrenceOffsets"": [55], ""SurfaceForms"": [""Georgia""]}]"	"[{""Label"": ""Georgia (U.S. state)"", ""Type"": ""G"", ""WikidataId"": ""Q1428"", ""Confidence"": 0.972, ""OccurrenceOffsets"": [84], ""SurfaceForms"": [""Georgia""]}]"
